"WFD_ID","WFD_VERSION","NAME","family_folder","file_name","relative_path","compressed_bytes","decompressed_bytes","preamble_bytes","data_id","mod_date","edited_by","status","error"
"1429","4","FA_FROM_ACCURINT_IB_BD_P2X_BDL","02_FA_FROM","FA_FROM_ACCURINT_IB_BD_P2X_BDL__v004.bpml.xml","02_FA_FROM\FA_FROM_ACCURINT_IB_BD_P2X_BDL__v004.bpml.xml","354","797","7","FA-INT-APPP:node1:19aafce82c2:12939422","11/23/2025 11:50:46 PM","csbernal","OK",""
"994","1","FA_FROM_ADENA_EPIC_OSU_IB_BD_PULL","02_FA_FROM","FA_FROM_ADENA_EPIC_OSU_IB_BD_PULL__v001.bpml.xml","02_FA_FROM\FA_FROM_ADENA_EPIC_OSU_IB_BD_PULL__v001.bpml.xml","359","809","7","FA-INT-APPP:node1:186d43250b5:1910558","3/15/2023 9:31:04 AM","sametzler","OK",""
"1233","1","FA_FROM_ADENA_HOSPITAL_IB_BD_PULL","02_FA_FROM","FA_FROM_ADENA_HOSPITAL_IB_BD_PULL__v001.bpml.xml","02_FA_FROM\FA_FROM_ADENA_HOSPITAL_IB_BD_PULL__v001.bpml.xml","358","811","7","FA-INT-APPP:node1:18de388e389:106408298","4/29/2024 7:50:28 AM","vxbandekar","OK",""
"1168","1","FA_FROM_ALLEGAN_IB_BD_PULL","02_FA_FROM","FA_FROM_ALLEGAN_IB_BD_PULL__v001.bpml.xml","02_FA_FROM\FA_FROM_ALLEGAN_IB_BD_PULL__v001.bpml.xml","343","791","7","FA-INT-APPP:node1:18bd32a27dd:13595738","12/4/2023 7:25:32 AM","rbmakram","OK",""
"1280","1","FA_FROM_AMBULATORY_CONSULTANTS_MEDICAL_GROUP_IB_BD_SFTP_PULL","02_FA_FROM","FA_FROM_AMBULATORY_CONSULTANTS_MEDICAL_GROUP_IB_BD_SFTP_PULL__v001.bpml.xml","02_FA_FROM\FA_FROM_AMBULATORY_CONSULTANTS_MEDICAL_GROUP_IB_BD_SFTP_PULL__v001.bpml.xml","377","836","7","FA-INT-APPP:node1:18fa696c2b6:32857542","6/6/2024 3:34:26 PM","jcknox","OK",""
"1283","1","FA_FROM_ANESTHESIA_ASSOCIATES_OF_SEQUIN_IB_BD_SFTP_PULL","02_FA_FROM","FA_FROM_ANESTHESIA_ASSOCIATES_OF_SEQUIN_IB_BD_SFTP_PULL__v001.bpml.xml","02_FA_FROM\FA_FROM_ANESTHESIA_ASSOCIATES_OF_SEQUIN_IB_BD_SFTP_PULL__v001.bpml.xml","369","829","7","FA-INT-APPP:node1:18fa696c2b6:32908512","6/6/2024 4:48:17 PM","jcknox","OK",""
"1281","1","FA_FROM_ANESTHESIOLOGY_CONSULTANTS_OF_MARIN_IB_BD_SFTP_PULL","02_FA_FROM","FA_FROM_ANESTHESIOLOGY_CONSULTANTS_OF_MARIN_IB_BD_SFTP_PULL__v001.bpml.xml","02_FA_FROM\FA_FROM_ANESTHESIOLOGY_CONSULTANTS_OF_MARIN_IB_BD_SFTP_PULL__v001.bpml.xml","377","835","7","FA-INT-APPP:node1:18fa696c2b6:32864504","6/6/2024 3:44:33 PM","jcknox","OK",""
"1176","1","FA_FROM_ARIETIS_HEALTH_IB_BD_PULL","02_FA_FROM","FA_FROM_ARIETIS_HEALTH_IB_BD_PULL__v001.bpml.xml","02_FA_FROM\FA_FROM_ARIETIS_HEALTH_IB_BD_PULL__v001.bpml.xml","360","811","7","FA-INT-APPP:node1:18c4b3db757:33845046","1/19/2024 11:26:46 AM","jcknox","OK",""
"1304","1","FA_FROM_ATHENA_IB_BD_D2S_RT","02_FA_FROM","FA_FROM_ATHENA_IB_BD_D2S_RT__v001.bpml.xml","02_FA_FROM\FA_FROM_ATHENA_IB_BD_D2S_RT__v001.bpml.xml","345","789","7","FA-INT-APPP:node1:1902b5ca5f4:15760763","6/24/2024 6:33:59 AM","glgaonkar","OK",""
"1305","1","FA_FROM_ATHENA_IB_BD_D2X_NB_MDOS","02_FA_FROM","FA_FROM_ATHENA_IB_BD_D2X_NB_MDOS__v001.bpml.xml","02_FA_FROM\FA_FROM_ATHENA_IB_BD_D2X_NB_MDOS__v001.bpml.xml","349","798","7","FA-INT-APPP:node1:1902b5ca5f4:15892314","6/24/2024 6:58:20 AM","vxbandekar","OK",""
