-- ========================
-- 3.1
-- ========================
column_name	data_type	max_length	is_nullable	column_id
FA_FROM_MERCY_EPIC_IB_BD_PULL	1235	2	2026-04-22 09:42:00.590	2026-04-23 09:42:00.607
FA_FROM_FAIRFIELD_IB_BD_PULL	1239	2	2026-04-22 09:46:00.590	2026-04-23 09:46:00.783
FA_FROM_BLUE_CROSS_BLUE_SHIELD_IB_BD_PULL	1240	2	2026-04-22 13:45:00.597	2026-04-23 13:45:00.630
FA_TO_LIFESPAN_PHARMACY_SBO_OB_BD_S2D_NT	1243	2	2026-04-22 11:00:00.597	2026-04-23 11:00:00.623
FA_TO_LIFESPAN_PHARMACY_SBO_OB_BD_S2D_RT	1244	2	2026-04-22 07:46:00.583	2026-04-23 07:46:00.600
FA_FROM_PHIN_SOLUTIONS_IB_BD_PULL	1246	2	2026-04-23 04:56:00.630	2026-04-24 04:56:00.650
FA_TO_ST_VINCENT_OB_BD_S2D_INV	1250	2	2026-04-22 09:07:00.593	2026-04-23 09:07:00.623
FA_TO_ENSEMBLE_NICKLAUS_PB_OB_BD_S2D_NTRT	1160	2	2026-04-23 05:30:00.260	2026-04-24 05:30:00.260
FA_TO_BON_SECOUR_OB_BD_S2D_RTNT	1217	2	2026-04-22 07:20:00.580	2026-04-23 07:20:00.587
FA_TO_WOMANS_HOSPITAL_OB_BD_S2P_NTRT	1225	2	2026-04-22 14:39:00.577	2026-04-23 14:39:00.603
FA_FROM_PAY_N_SECONDS_IB_BD_PULL	1226	2	2026-04-23 02:45:00.573	2026-04-24 02:45:00.617
FA_TO_CCI_LEGAL_OB_BD_S2D_NB	1228	2	2026-04-22 20:35:00.850	2026-04-23 20:35:00.880
FA_TO_INCEPTION_IB_EO_ITS_RPT	1152	2	2026-04-22 15:55:00.250	2026-04-23 15:55:00.280
FA_TO_ENSEMBLE_COVENANT_OB_BD_S2D_NTRT	1157	2	2026-04-22 07:35:00.243	2026-04-23 07:35:00.287
