KEY_VALUE_PROPERTY	0	0	0
FG_P_FST	0	0	0
FG_RCTMPL_GPERM	0	0	0
FG_RCTPARAM	0	0	0
FG_REROUTE	0	0	0
FG_ROUTCHAN	0	0	0
FG_ROUTCHAN_TMPL	0	0	0
FG_ROUTE	0	0	0
FG_ROUTE_EVENT	0	0	0
FG_SEARCH	0	0	0
FIFO_TASK	0	0	0
FIFO_TASKID	0	0	0
FIFO_WORKFLOW_TASK	0	0	0
FSA_COLLECTED	0	0	0
FS_INBND_RESTORE	0	0	0
FS_INBOUND	0	0	0
FS_INBOUND_HISTY	0	0	0
FS_INFO	0	0	0
FS_OUTBND_RESTORE	0	0	0
FS_OUTBOUND	0	0	0
FS_OUTBOUND_HISTY	0	0	0
FS_VIRTUAL_ROOT	0	0	0
GENERIC_ACK	0	0	0
GROUP_XREF_PERM	0	0	0
ID_SEQUENCE	0	0	0
WMQFTE_USER_MAP	0	0	0
WS_IN_SECURITY	0	0	0
WS_OUT_SECURITY	0	0	0
WORKFLOW_DATA	0	0	0
WORKFLOW_LIFESPAN	0	0	0
WF_DATA_RESTORE	0	0	0
WF_GUID	0	0	0
WF_HINT	0	0	0
WFD_GLOBAL_PARMS	0	0	0
UI_BRANDING_NODE_INSTALL	0	0	0
USEREXIT_CLASSNAME	0	0	0
USEREXIT_GENERAL_PROPERTIES	0	0	0
USEREXIT_IMPLEMENTATIONS	0	0	0
USER_LOGIN_FAILURE	0	0	0
VERSION	0	0	0
WEBX_MINED_DATA	0	0	0
WEBX_M_D_RESTORE	0	0	0
WEB_RESOURCE	0	0	0
WEB_RESOURCE_VERS	0	0	0
WEB_SERVICE_CONFIG	0	0	0
WEB_SERVICE_DEF	0	0	0
WEB_SERVICE_ID	0	0	0
WEB_SERVICE_SETTINGS	0	0	0
YFS_BASE_DOCUMENT_TEMPLATE	0	0	0
YFS_BASE_EVENT	0	0	0
YFS_BASE_PICKUP_DROP_STS	0	0	0
YFS_BASE_CONFIG_GRP_DEFN	0	0	0
YFS_BASE_CONFIG_TABLES	0	0	0
YFS_BASE_CONFIG_TASK	0	0	0
YFS_BASE_CONFIG_TASK_DEP	0	0	0
YFS_BASE_CONFIG_TASK_STATUS	0	0	0
YFS_AUDIT	0	0	0
YFS_AUDIT_HEADER	0	0	0
XREFCOOKIE	0	0	0
YFS_ACTION	0	0	0
YFS_ADAPTER	0	0	0
YFS_AGENT_CRITERIA	0	0	0
YFS_COMMON_CODE_ATTRIBUTE	0	0	0
YFS_CONDITION	0	0	0
YFS_CONDITION_PROPS	0	0	0
YFS_CONDITION_VARIABLES	0	0	0
YFS_CONFIG_TASK_KNWGE	0	0	0
YFS_CONFIG_VERSION_LABEL	0	0	0
YFS_CURRENCY	0	0	0
YFS_CURRENCY_CONVERSION	0	0	0
YFS_DATA_SECURITY_DOC_TYPE	0	0	0
YFS_DATA_SECURITY_ENTERPRISE	0	0	0
YFS_DATA_SECURITY_GROUP	0	0	0
YFS_DATA_SECURITY_NODES	0	0	0
YFS_DATE_TYPE	0	0	0
YFS_DEPARTMENT	0	0	0
YFS_DOCUMENT_FORMAT	0	0	0
SCI_ADHOC	0	0	0
SIEBEL_DTDS	0	0	0
SEARCH_TAGS	0	0	0
SEARCH_TAG_PARAMS	0	0	0
SECURITY_TOKEN	0	0	0
SECURITY_TOKEN_PAR	0	0	0
SECURITY_TOKEN_VER	0	0	0
SEQUENCING	0	0	0
SCI_TP_NOTIF	0	0	0
SCI_TP_PEER_XREF	0	0	0
SCI_TRANSPORT	0	0	0
SCI_TRANSP_CA_CERT	0	0	0
SCI_TRANSP_CERT_GROUP	0	0	0
SCI_TRP_KEY_CERT	0	0	0
SCI_TRP_SSL_CERT	0	0	0
SCI_TRP_USER_CERT	0	0	0
TRUSTED_CERT_INFO	0	0	0
TRANSACTION_XREF	0	0	0
TRANSACT_REGISTER	0	0	0
SSH_USER_KEY	0	0	0
SWIFTNET_ROUTE	0	0	0
SWIFT_ACK_RECON	0	0	0
SWNET_ADAPTER	0	0	0
SWNET_ASP	0	0	0
SWNET_ASP_COPY_PARAMS	0	0	0
SWNET_ASP_ELEM	0	0	0
SWNET_ASP_GEN_INFO	0	0	0
SWNET_ASP_REQ_TYPE	0	0	0
SWNET_ASP_RMA	0	0	0
SWNET_CHANNEL	0	0	0
SWNET_CLIENT_PROFILE	0	0	0
SWNET_CONTEXT	0	0	0
SWNET_COPY_PROFILE	0	0	0
SWNET_DB_RUN	0	0	0
SWNET_DISTLIST	0	0	0
SWNET_MSG	0	0	0
SWNET_MSG_INFO	0	0	0
SWNET_MSG_RESTORE	0	0	0
SWNET_QUEUE	0	0	0
SWNET_RMA_AUTH	0	0	0
SWNET_SVC_PROFILE	0	0	0
SW_MSGINF_RESTORE	0	0	0
S_DLIST_RESTORE	0	0	0
ServEnded	0	0	0
ServError	0	0	0
ServStarted	0	0	0
TAG_RESOURCE_ASSOC	0	0	0
PERF_CONFIG	0	0	0
PERF_ENG_STATS	0	0	0
PERF_STATID	0	0	0
PERF_SVC_STATS	0	0	0
PERF_WF_STATS	0	0	0
PGP_KEYMAP	0	0	0
PGP_PARTNER	0	0	0
MESSAGES_EXT	0	0	0
MESSAGE_ENTRY_CFG	0	0	0
MESSAGE_ENTRY_DTL	0	0	0
MESSAGE_ENTRY_MSTR	0	0	0
PROFILEID_CERT	0	0	0
PROPERTY_NODE_VALUE	0	0	0
PROXY_SERVER	0	0	0
PS_SERVER	0	0	0
RAW_TRUSTED_CERT	0	0	0
RELIABLE_GROUP_DEF	0	0	0
RELIABLE_MSG_DEF	0	0	0
MBX_MAILBOX_GUID	0	0	0
PIP_INSTANCE	0	0	0
PIP_INSTANCE_DEF	0	0	0
PIP_INSTANCE_STEP	0	0	0
PGP_SECRET_KEY	0	0	0
PGP_SPONSOR	0	0	0
RPT_CONFIG_SCHEDUL	0	0	0
RUNTIME_VARIABLE	0	0	0
RemEventErr	0	0	0
RemEvent_MIN	0	0	0
SAP_ROUTE	0	0	0
SAP_TID	0	0	0
SAP_XREF	0	0	0
SCI_CODE_USR_XREF	0	0	0
SCI_COMMUNITY	0	0	0
SCI_COMM_DOCUMENT	0	0	0
SCI_COMM_PRO_XREF	0	0	0
SCI_COMM_TP_XREF	0	0	0
SCI_CONTRACT	0	0	0
SCI_CONTRACT_EXTN	0	0	0
SCI_DELIV_CHAN	0	0	0
SCI_DOCX_KEY_CERT	0	0	0
SCI_DOCX_USER_CERT	0	0	0
SCI_DOC_EXCHANGE	0	0	0
SCI_ENTITY	0	0	0
SCI_ENTITY_EXTNS	0	0	0
SCI_INVITED_TP	0	0	0
SCI_PACKAGING	0	0	0
SCI_PROFILE	0	0	0
SCI_PROFILE_WF	0	0	0
SCI_RN_PROFILE	0	0	0
SCI_SCM_DATABLOCK	0	0	0
SCI_SCM_ORG_CORREL	0	0	0
SCI_SCM_REFERENCE	0	0	0
SCI_SEMAPHORE	0	0	0
MBX_VIRTUAL_ROOT	0	0	0
MCAST_NODE_INFO	0	0	0
MBX_MESSAGE	0	0	0
MBX_MESSAGE_GUID	0	0	0
MBX_MESSAGE_HOLD	0	0	0
MBX_MESSAGE_UNIQ	0	0	0
MBX_NEEDS_ROUTING	0	0	0
MBX_ACTIONSET	0	0	0
MBX_CONTRACT_ACT	0	0	0
MBX_EXTRACTABLE	0	0	0
MBX_EXTRACT_COUNT	0	0	0
MBX_EXTRACT_TIL	0	0	0
MSGMDNCORRELATION	0	0	0
MSGMDNCOR_RESTORE	0	0	0
MSGMDNDUP	0	0	0
MSGMDNDUP_RESTORE	0	0	0
MY_PIP_INSTANCE	0	0	0
NDC_LISTINGS	0	0	0
NDC_PACKAGES	0	0	0
OCSP_RESPONDER	0	0	0
OFTP_CERTIFICATE	0	0	0
OFTP_ESID_INFO	0	0	0
OFTP_ITERATION	0	0	0
OFTP_LOGICAL_PARTNER	0	0	0
OFTP_LOGICAL_PARTNER_CONTRACT	0	0	0
OFTP_OBJECT	0	0	0
OFTP_OBJECT_EXT	0	0	0
OFTP_PHYSICAL_PARTNER	0	0	0
OFTP_PHYSICAL_PARTNER_CONTRACT	0	0	0
OFTP_PHYS_PARTNER_CAPI	0	0	0
OFTP_PHYS_PARTNER_IP	0	0	0
OFTP_TSL_INFO	0	0	0
OPS_NODE_INFO	0	0	0
PIP_STEP_TRACK	0	0	0
PIP_TRACK	0	0	0
PLT_ACCESS_TOKEN	0	0	0
PLT_ACTIVITY_CONFIG	0	0	0
PLT_ACTIVITY_CONFIG_METADATA	0	0	0
PLT_APPLICATION_VERSION	0	0	0
PLT_AUTH_ANSWER	0	0	0
PLT_AUTH_QUESTION	0	0	0
PLT_CALLOUT	0	0	0
PLT_CALLOUT_CLASS_LOADER	0	0	0
PLT_CALLOUT_IMPL	0	0	0
PLT_COLONY_MAP	0	0	0
PLT_DB_COLONY	0	0	0
PLT_DB_COLONY_POOL	0	0	0
PLT_DB_POOL	0	0	0
PLT_DISPATCH	0	0	0
PLT_FILE_ATTACHMENT	0	0	0
PLT_FILE_ATTACHMENT_H	0	0	0
PLT_FILE_DATA	0	0	0
PLT_FILE_DATA_H	0	0	0
PLT_PROPERTY	0	0	0
