-- ========================
-- 6A
-- ========================
WFD_ID	NAME	latest_WFD_VERSION	version_count	latest_version_mod_date	latest_version_edited_by	DESCRIPTION	family	suffix_code	direction	instances_30d	instances_7d	instances_48h	instances_live	instances_restore	runs_status_0	runs_status_1	runs_status_other	is_active_30d	distinct_versions_seen_running	distinct_nodes_seen	earliest_start_30d	latest_start_30d	avg_duration_seconds	max_duration_seconds	velocity_tier	wfd_status	wfd_type	PERSISTENCE_LEVEL	RECOVERY_LEVEL	ONFAULT	DOCTRACKING	EVENT_LEVEL	CATEGORY	ENCODING	LIFE_SPAN	REMOVAL_METHOD
1231	FA_FROM_ACCRETIVE_IB_BD_PULL	1	1	2024-04-26 01:53:20.413	vxbandekar	FA_FROM_ACCRETIVE_IB_BD_PULL	FA_FROM	PULL	inbound	10	4	4	4	6	10	0	0	1	1	1	2026-03-27 08:15:00.883	2026-04-24 08:15:00.703	8.700000	48	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1237	FA_FROM_ENSEMBLE_COVENANT_IB_BD_PULL	1	1	2024-04-29 08:52:25.823	vxbandekar	FA_FROM_ENSEMBLE_COVENANT_IB_BD_PULL	FA_FROM	PULL	inbound	10	4	4	4	6	10	0	0	1	1	1	2026-03-27 09:44:00.507	2026-04-24 10:29:00.700	119.600000	671	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1220	FA_FROM_NEW_LIGHT_IMAGING_IB_EO_PULL	1	1	2024-04-15 09:24:43.137	vxbandekar	FA_FROM_NEW_LIGHT_IMAGING_IB_EO_PULL	FA_FROM	PULL	inbound	10	4	4	4	6	10	0	0	1	1	1	2026-03-27 06:25:00.103	2026-04-24 06:25:00.647	36.000000	331	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1316	FA_FROM_THEDACARE_BH_IB_BD_PULL	1	1	2024-07-17 08:19:41.727	vxbandekar	FA_FROM_THEDACARE_BH_IB_BD_PULL	FA_FROM	PULL	inbound	10	4	4	4	6	10	0	0	1	1	1	2026-03-27 09:50:00.823	2026-04-24 10:35:00.140	35.300000	322	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1238	FA_FROM_THEDACARE_IB_BD_PULL	1	1	2024-04-29 08:59:06.253	vxbandekar	FA_FROM_THEDACARE_IB_BD_PULL	FA_FROM	PULL	inbound	10	4	4	4	6	10	0	0	1	1	1	2026-03-27 09:45:00.493	2026-04-24 10:30:00.690	95.400000	605	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1515	FA_FROM_VENTRA_HEALTH_IB_BD_PULL	2	2	2025-12-04 18:37:45.443	mxkellogg	Updated to Sequence ID 10	FA_FROM	PULL	inbound	10	4	4	4	6	10	0	0	1	1	1	2026-03-27 09:50:00.057	2026-04-24 09:50:00.887	34.400000	318	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1144	FA_TO_CCI_LEGAL_OB_BD_S2D_NT	1	1	2023-09-19 09:39:52.980	rbmakram	FIRST LOAD	FA_TO	NT	outbound	10	4	4	4	6	10	0	0	1	1	1	2026-03-27 13:00:00.597	2026-04-24 01:00:00.337	4.200000	7	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1305	FA_FROM_ATHENA_IB_BD_D2X_NB_MDOS	1	1	2024-06-24 06:58:20.670	vxbandekar	FA_FROM_ATHENA_IB_BD_D2X_NB_MDOS	FA_FROM	MDOS	inbound	7	4	4	4	3	7	0	0	1	1	1	2026-03-27 04:30:00.453	2026-04-24 06:47:29.807	6.285714	13	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1478	FA_FROM_SENDRIGHT_ACK_RESP_IB_BDEO_D2X_BDL	15	15	2026-03-23 02:37:25.020	vdhumaskar	Seq 1,4,5,7,9,10	FA_FROM	BDL	inbound	7	2	2	2	5	7	0	0	1	3	1	2026-03-27 03:53:51.550	2026-04-24 01:50:00.913	55.714285	194	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1058	FA_MONUMENT_HEALTH_IB_EO	7	7	2026-04-01 19:29:33.720	mxkellogg	ONLY SEQUENCE 3	FA_OTHER	NULL	NULL	7	2	2	2	5	7	0	0	1	3	1	2026-03-27 12:15:00.227	2026-04-23 12:15:00.190	23.857142	152	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
